Data Medicao,TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),has_Foco
26/06,21.066667,79.875,1.179167,0
27/06,20.3375,85.208333,0.779167,0
28/06,20.429167,87.791667,0.766667,0
29/06,20.891667,81.375,1.233333,0
30/06,21.5125,71.291667,1.070833,0
01/07,21.941667,82.916667,0.616667,0
02/07,22.233333,79.125,1.129167,0
03/07,19.7375,75.708333,1.870833,0
04/07,19.108333,68.583333,2.141667,0
05/07,19.5,70.375,2.291667,0
06/07,19.845833,78.666667,1.520833,0
07/07,20.575,79.291667,1.6541669999999995,0
08/07,20.6875,76.416667,2.341667,0
09/07,20.654167,72.25,1.833333,0
10/07,20.1,85.25,0.970833,0
11/07,20.733333,80.541667,1.7333330000000002,0
12/07,22.0375,70.208333,1.645833,0
13/07,20.933333,80.083333,1.870833,0
14/07,19.6125,86.083333,0.9,0
15/07,20.204167,74.291667,1.345833,0
16/07,20.429167,73.875,0.8875,0
17/07,21.395833,76.958333,1.1875,0
18/07,20.775,72.0,0.591667,0
19/07,21.4875,67.041667,0.695833,0
20/07,21.495833,73.208333,0.804167,0
21/07,22.3875,72.916667,0.483333,0
22/07,23.3625,61.541667,0.758333,0
23/07,21.133333,60.0,1.241667,0
24/07,20.8375,74.416667,1.6833330000000002,0
25/07,20.770833,78.791667,1.891667,0
26/07,19.45,79.583333,1.675,0
27/07,20.883333,72.916667,2.045833,0
28/07,20.933333,70.666667,2.0375,0
29/07,18.875,86.666667,1.466667,0
30/07,19.495833,77.541667,1.920833,0
31/07,20.116667,76.166667,1.595833,0
01/08,19.9875,78.5,0.808333,0
02/08,21.808333,70.166667,0.466667,0
03/08,21.641667,73.333333,0.304167,0
04/08,22.408333,70.916667,0.520833,0
05/08,22.925,67.208333,0.804167,0
06/08,23.016667,67.0,1.170833,0
07/08,20.991667,72.625,0.783333,0
08/08,22.366667,62.75,0.954167,0
09/08,22.283333,63.416667,0.4,0
10/08,23.195833,61.25,1.0,0
11/08,21.933333,53.916667,1.208333,0
12/08,22.858333,64.833333,0.75,0
13/08,23.05,62.333333,0.8875,0
14/08,21.5125,65.708333,0.55,0
15/08,20.358333,66.875,0.7375,0
16/08,21.620833,59.375,0.745833,0
17/08,22.4125,61.416667,0.65,0
18/08,22.616667,62.0,0.6625,0
19/08,23.345833,59.583333,0.829167,0
20/08,22.683333,63.916667,0.608333,0
21/08,24.2625,63.541667,0.9625,0
22/08,22.079167,77.708333,1.491667,0
23/08,22.108333,72.791667,1.991667,0
24/08,22.6,66.916667,1.916667,0
25/08,21.2375,76.041667,1.9083330000000005,0
26/08,21.6375,74.416667,1.279167,0
27/08,22.033333,70.083333,0.579167,0
28/08,22.691667,66.208333,0.958333,0
29/08,22.908333,59.416667,0.833333,0
30/08,22.520833,58.416667,0.691667,0
31/08,23.666667,55.166667,0.908333,0
01/09,23.195833,60.125,1.408333,0
02/09,21.491667,67.25,1.825,0
03/09,20.304167,76.666667,1.945833,0
04/09,22.0,61.5,2.325,0
05/09,22.508333,61.208333,1.566667,0
06/09,23.408333,65.416667,0.945833,0
07/09,24.166667,66.333333,0.891667,0
08/09,23.341667,68.75,1.1125,0
09/09,23.625,62.333333,1.35,0
10/09,22.858333,64.541667,1.5875,0
11/09,22.725,63.25,1.825,0
12/09,23.425,53.333333,1.4875,0
13/09,23.333333,61.708333,1.2125,0
14/09,21.508333,76.375,0.954167,0
15/09,22.733333,67.75,1.8375,0
16/09,23.1625,64.875,1.7125,0
17/09,21.979167,77.041667,1.258333,0
18/09,22.75,68.791667,1.483333,0
19/09,21.329167,79.291667,1.145833,0
20/09,22.241667,74.291667,1.604167,0
21/09,22.170833,75.125,1.625,0
22/09,22.7,62.708333,1.7541669999999998,0
23/09,23.020833,67.083333,1.7041669999999998,0
24/09,22.575,68.333333,1.604167,0
25/09,21.570833,77.333333,1.020833,0
26/09,23.504167,65.708333,0.954167,0
27/09,23.966667,65.0,1.0625,0
28/09,25.491667,62.041667,0.8625,0
29/09,24.3875,63.291667,0.841667,0
30/09,25.716667,58.75,1.125,0
01/10,24.995833,61.708333,0.904167,0
02/10,26.425,55.791667,1.266667,0
03/10,27.0125,55.041667,1.116667,0
04/10,26.070833,56.416667,1.379167,0
05/10,24.8375,59.333333,1.204167,0
06/10,25.445833,54.291667,1.483333,0
07/10,24.504167,62.708333,0.983333,0
08/10,24.941667,56.875,1.041667,0
09/10,24.929167,57.458333,1.191667,0
10/10,25.020833,55.541667,1.3125,0
